tile_name,expected_bytes,actual_bytes,path,status,download_url
USGS_LPC_OR_WesternWildfires_A22_s04710w13440.laz,123672085,123672085,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04710w13440.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04710w13440.laz
USGS_LPC_OR_WesternWildfires_A22_s05160w13950.laz,177692525,177692525,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05160w13950.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w13950.laz
USGS_LPC_OR_WesternWildfires_A22_s05160w14010.laz,129710587,129710587,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05160w14010.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14010.laz
USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz,197435896,197435896,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz
USGS_LPC_OR_WesternWildfires_A22_s05040w13770.laz,211630036,211630036,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05040w13770.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05040w13770.laz
USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz,188244194,188244194,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz
USGS_LPC_OR_WesternWildfires_A22_s04620w13830.laz,185307146,185307146,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04620w13830.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04620w13830.laz
USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz,183928244,183928244,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz
USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz,62771035,62771035,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz
USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz,186359196,186359196,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz
