selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
14,USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz,positive_diversity,False,118479661,0.11848,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz,0,1,4,3,25675.181,0.0,1.754,,,,,16.7544,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=6.59; downloaded=no,-123.8294950868,45.5048229705,-123.8173299478,45.5133764685
29,USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz,positive_diversity,False,85365433,0.085365,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz,0,1,3,4,62970.402,0.0,3.025,,,,,16.525,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.81; downloaded=no,-123.8712126856,45.6188991608,-123.8591017205,45.6260219884
34,USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz,positive_diversity,False,186359196,0.186359,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz,0,1,3,2,130672.483,0.0,4.855,,,,,16.3549,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.8543134268,45.5288148627,-123.8421398383,45.5373706283
35,USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz,positive_diversity,False,188244194,0.188244,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz,0,1,1,6,33361.84,0.0,5.81,,,,,16.3101,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7439470697,45.4413604835,-123.7318069708,45.4499060584
36,USGS_LPC_OR_WesternWildfires_A22_s04500w14130.laz,positive_diversity,False,174462218,0.174462,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14130.laz,0,1,2,2,39924.866,0.0,7.269,,,,,16.2692,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.8688917935,45.5777993879,-123.856705869,45.5863563114
38,USGS_LPC_OR_WesternWildfires_A22_s04860w13620.laz,positive_diversity,False,148656902,0.148657,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13620.laz,0,1,3,0,136735.343,0.0,6.394,,,,,15.8942,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7205867299,45.4420080349,-123.7084496875,45.4505513598
37,USGS_LPC_OR_WesternWildfires_A22_s05250w14130.laz,positive_diversity,False,137443876,0.137444,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14130.laz,0,1,2,6,206527.535,0.0,2.826,,,,,15.8261,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.5761761179,45.5858687941,-123.5640285954,45.5943975197
40,USGS_LPC_OR_WesternWildfires_A22_s05220w14010.laz,positive_diversity,False,163364399,0.163364,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14010.laz,0,1,3,4,145633.174,0.0,2.016,,,,,15.5163,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5861248199,45.5526752462,-123.5739829228,45.5612050954
44,USGS_LPC_OR_WesternWildfires_A22_s04860w13650.laz,positive_diversity,False,205273427,0.205273,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13650.laz,0,1,2,2,52241.379,0.0,6.328,,,,,15.3281,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7210452,45.4502292968,-123.7089063682,45.4587726276
45,USGS_LPC_OR_WesternWildfires_A22_s05250w14070.laz,positive_diversity,False,165979369,0.165979,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14070.laz,0,1,3,3,60089.746,0.0,2.706,,,,,15.2056,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.575298463,45.5694263711,-123.5631545246,45.5779550941
39,USGS_LPC_OR_WesternWildfires_A22_s04560w13920.laz,positive_diversity,False,131162455,0.131162,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04560w13920.laz,0,1,3,2,114614.656,0.0,3.698,,,,,15.1979,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.8421398342,45.5209298393,-123.8299695722,45.5294844741
