tile_name,reason
USGS_LPC_OR_WesternWildfires_A22_s05250w13650.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13680.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w14220.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w14430.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w14460.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13320.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13530.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13560.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13590.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13620.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05280w13650.laz,low_or_unknown_slido_overlap_only
