left_id,right_id,left_project,right_project,iou,smaller_overlap,left_overlap,right_overlap,intersection_area,left_area,right_area,area_ratio_small_to_large
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04860w13830,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000610,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5465992376149348,0.9834900561716776,0.9834900561716776,0.5516611784751313,0.0001020845549259502,0.00010379825834063172,0.00018504937252993982,0.5609219686699441
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04770w13980,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000704,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5459799239491524,0.9827007203843089,0.9827007203843089,0.5512784421109422,0.00010215721321959318,0.00010395556968722088,0.00018530964647994435,0.5609830446601805
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05040w14370,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000751,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5453729641692546,0.978719156485494,0.978719156485494,0.5519177999648677,0.00010170255015709941,0.00010391392615865978,0.00018427119068015798,0.5639184604772246
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04920w13800,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000452,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5451914570319679,0.9817662943464169,0.9817662943464169,0.5507682530904319,0.00010183798572415952,0.00010372935627409705,0.00018490169895002737,0.5609973129675329
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05070w14280,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000762,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.543735989265317,0.976889317977181,0.976889317977181,0.5508214207357283,0.00010144111076852676,0.00010384094584899157,0.00018416333670000085,0.5638524350704333
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05310w14010,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000261,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5432356105930704,0.9736752073765328,0.9736752073765328,0.5513331521614847,0.00010076367970954804,0.00010348797930374069,0.00018276368710009024,0.5662392838850184
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05160w14280,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000419,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5412732165558155,0.9737408320660206,0.9737408320660206,0.5492910426759123,0.00010103552863334051,0.0001037601847495394,0.00018393805975997423,0.5641039428432532
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05220w14010,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000238,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5405799841489128,0.9732103478289679,0.9732103478289679,0.5487456462694635,0.00010079398580056379,0.00010356855126480564,0.00018368070249994938,0.5638510189432347
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05100w13380,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000611,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5392407533856369,0.9748129860415427,0.9748129860415427,0.5468600393377567,0.0001007513636277379,0.00010335455627941777,0.00018423610500000517,0.5609896946063578
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04620w14250,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001962,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5385793131309559,0.9643802754856097,0.9643802754856097,0.5495105149434969,0.00010051604166061473,0.00010422863699695672,0.00018291923252997303,0.569806878999877
