split,category,channel,patch_statistic,count,min,p10,p25,median,p75,p90,max,mean,std
train,positive_boundary,slope_degrees,p90,42,25.4296875,32.38125,38.4375,45.65625,48.4375,52.78125,57.3125,43.773065476190474,7.8345395880857485
train,positive_boundary,tri,mean,42,0.2586666889819753,0.3433315650837358,0.5169819374755207,0.6831385599734858,0.8024040193652127,0.9824981261162065,1.116105747481015,0.6688532815704397,0.21711130219485011
train,positive_boundary,tri,std,42,0.3014065281293686,0.38636652012814365,0.4156915756078695,0.4938072729030283,0.5873130084677067,0.6997111898146886,0.8753394897424921,0.5152871857471328,0.12574906438702266
train,positive_boundary,tri,p10,42,0.0382080078125,0.04591064453125001,0.1152496337890625,0.17529296875,0.2510528564453125,0.38760986328124997,0.43505859375,0.19453975132533483,0.1127291478390296
train,positive_boundary,tri,median,42,0.150390625,0.20057373046875,0.383544921875,0.539306640625,0.6915283203125,0.8483886718749999,0.97412109375,0.5459275018601191,0.22532506898987062
train,positive_boundary,tri,p90,42,0.62109375,0.80439453125,1.008544921875,1.29150390625,1.4593505859375,1.64931640625,1.9833984375,1.2618989490327381,0.3300082086062533
train,positive_interior,aspect_cos,mean,230,-0.8583936637733132,-0.5869979922628772,-0.43016081183918686,-0.2324891737548569,0.08553420753196406,0.4500195878604245,0.769592365140852,-0.15465994521200233,0.38796014848074845
train,positive_interior,aspect_cos,std,230,0.24360392014456758,0.38253309193896734,0.496735363286015,0.5724145593358377,0.6365116678361682,0.6890342035547582,0.7996236441510449,0.5567007192144491,0.11215269918254238
train,positive_interior,aspect_cos,p10,230,-0.99853515625,-0.994140625,-0.9833984375,-0.958984375,-0.86517333984375,-0.42647705078125003,0.3994140625,-0.8226363534512727,0.30531408494226525
train,positive_interior,aspect_cos,median,230,-0.9462890625,-0.8116210937499999,-0.613525390625,-0.33154296875,0.1337738037109375,0.6635009765625,0.873046875,-0.22044689344323198,0.5143237198493813
train,positive_interior,aspect_cos,p90,230,-0.64208984375,0.024333953857421903,0.466064453125,0.77294921875,0.94921875,0.982958984375,0.99609375,0.6354645231495732,0.3883981999044235
train,positive_interior,aspect_sin,mean,230,-0.8653481763867603,-0.5844815763749466,-0.4408690144173306,-0.11124882264766711,0.15544341223585434,0.4095746401502764,0.7056363841938946,-0.11766775905686265,0.37701605520617754
train,positive_interior,aspect_sin,std,230,0.2182324753539783,0.44354673355133245,0.49252731532963645,0.5919334491916182,0.6594078643200288,0.7147141681622401,0.8091525310475645,0.5790895131738947,0.10836881618714025
train,positive_interior,aspect_sin,p10,230,-0.99853515625,-0.992724609375,-0.9862060546875,-0.954833984375,-0.77294921875,-0.6328125,0.1202392578125,-0.853177841849949,0.21465836823068055
train,positive_interior,aspect_sin,median,230,-0.9482421875,-0.77646484375,-0.664794921875,-0.17193603515625,0.29400634765625,0.6557128906249999,0.8955078125,-0.15147613649782926,0.5408185660830451
train,positive_interior,aspect_sin,p90,230,-0.6416015625,0.04516143798828126,0.42669677734375,0.8388671875,0.9697265625,0.9892578125,0.998046875,0.6643004085706627,0.3663167066766666
train,positive_interior,curvature,mean,230,-0.0030988348544269684,-0.0016661974997077777,-0.0009265501187201153,9.349631136501557e-05,0.001048238633075016,0.0020299969512961977,0.0055809730883993325,0.00017035070733744878,0.0015051032241273179
train,positive_interior,curvature,std,230,0.10644940756892067,0.13874759986465532,0.16976496092021356,0.19629505270528144,0.2501377077690441,0.2859248701558399,1.1638703529160899,0.21271446140839306,0.0837852707408834
train,positive_interior,curvature,p10,230,-0.353515625,-0.276416015625,-0.2424774169921875,-0.19732666015625,-0.1669769287109375,-0.13267822265625,-0.09100341796875,-0.20560236391813858,0.055925841513768434
train,positive_interior,curvature,median,230,-0.0012006759643554688,0.0006096839904785157,0.0015726089477539062,0.002975940704345703,0.004119396209716797,0.005733871459960937,0.00925445556640625,0.00300825341888096,0.0018929941105900832
train,positive_interior,curvature,p90,230,0.0860595703125,0.12818603515625,0.160552978515625,0.191253662109375,0.240692138671875,0.27265625,0.352783203125,0.1997206978175951,0.05721528632621921
train,positive_interior,local_relief,mean,230,-2.266932914033532,-0.9318731560371816,-0.4769753156142542,-0.07312171225203201,0.32341900398023427,0.7337454746477304,1.2413911577314138,-0.0951754896311879,0.6494058089369585
train,positive_interior,local_relief,std,230,1.47827480915835,2.370730496493604,2.779321790946424,3.2777579764935574,4.074753901361451,4.923500170839869,8.319724758760154,3.4731787557477336,1.0091458763157592
train,positive_interior,local_relief,p10,230,-10.59375,-6.949609375,-5.28125,-4.0625,-3.21484375,-2.7027343750000004,-1.4931640625,-4.457326341711957,1.758865237875311
train,positive_interior,local_relief,median,230,-2.1572265625,-0.812060546875,-0.40521240234375,0.008275985717773438,0.4576416015625,0.8801269531249998,1.75341796875,-0.012984615823496942,0.6690767151900024
train,positive_interior,local_relief,p90,230,0.7109375,2.46875,3.32861328125,4.1015625,4.88134765625,5.605859375,8.1484375,4.110381283967391,1.2652994197402263
train,positive_interior,multidirectional_hillshade,mean,230,193.6648998260498,200.82839317321776,203.84619808197021,207.91933155059814,210.586754322052,212.81172733306886,214.99954223632812,207.14957153486168,4.535778343283505
train,positive_interior,multidirectional_hillshade,std,230,5.3458236909768955,7.595440346640501,9.137100233782775,10.596092197665012,12.668311906966148,13.831915312295834,16.92211479785587,10.715064450475584,2.3653952432717693
train,positive_interior,multidirectional_hillshade,p10,230,172.875,182.3625,185.46875,193.125,199.359375,203.875,210.1875,192.91603260869564,8.29330886291327
train,positive_interior,multidirectional_hillshade,median,230,196.0,203.25,207.40625,211.875,214.0,216.125,217.125,210.5141304347826,4.783087426632807
train,positive_interior,multidirectional_hillshade,p90,230,211.0,215.1125,216.40625,217.125,217.375,217.625,217.625,216.66603260869564,1.1930068624851549
train,positive_interior,slope_degrees,mean,230,9.591241311718477,14.259730694920291,18.77320411481196,22.79704217784456,28.635923420813924,32.621723794966236,40.69977489276789,23.635605677305062,6.719615589427666
train,positive_interior,slope_degrees,std,230,9.608374368052301,11.418042379909295,12.875911501945545,14.059431903021355,15.216718880343596,16.228962283367746,18.81940310689963,13.99459673353268,1.8157434324748896
train,positive_interior,slope_degrees,p10,230,1.201171875,2.5654296875,4.1572265625,6.1669921875,9.59375,13.730078124999999,22.109375,7.2889308763586955,4.407964885368916
train,positive_interior,slope_degrees,median,230,5.96484375,10.68515625,16.3046875,20.6484375,27.55859375,32.878125,40.59375,21.605740489130437,7.9997307976208445
train,positive_interior,slope_degrees,p90,230,23.4921875,32.059375,37.1640625,43.34375,49.96875,52.515625,59.8125,42.88834918478261,7.933033694458533
train,positive_interior,tri,mean,230,0.2419682973613817,0.3666787514794123,0.5006579665819118,0.6281124712809287,0.8046606798911853,0.9417168248663075,1.2834295160537295,0.6535371655538098,0.21679991977941002
train,positive_interior,tri,std,230,0.2510002193857857,0.3435913486709578,0.40468169115047675,0.47386072041805366,0.5863631695005916,0.6871407065576367,3.1260394345881872,0.5088185774009532,0.21557004327009993
train,positive_interior,tri,p10,230,0.033905029296875,0.07347412109375,0.1177520751953125,0.16650390625,0.2479248046875,0.35018310546875,0.57177734375,0.19219254203464675,0.11059828452935967
train,positive_interior,tri,median,230,0.1436767578125,0.25875244140625003,0.38995361328125,0.502197265625,0.68896484375,0.838232421875,1.1142578125,0.5371332583220109,0.21402522043583494
train,positive_interior,tri,p90,230,0.56689453125,0.80830078125,0.966796875,1.1953125,1.500732421875,1.661328125,2.166015625,1.2240467900815217,0.33412687274621206
validation,negative,aspect_cos,mean,40,-0.6050114355293772,-0.4774506772920176,-0.013032845939051185,0.18125455214840258,0.31071666698130684,0.5462890504197276,0.676790014314065,0.11804372146634705,0.34960453373234984
validation,negative,aspect_cos,std,40,0.3773146693801342,0.4671641002351873,0.5285221796608948,0.6103928238852152,0.657206055268349,0.7360634152251958,0.7481082945179408,0.594496436894518,0.10380252448538622
validation,negative,aspect_cos,p10,40,-0.9951171875,-0.9904296875,-0.966796875,-0.824951171875,-0.516021728515625,-0.15970306396484357,0.1148681640625,-0.69796142578125,0.33689384655147814
validation,negative,aspect_cos,median,40,-0.81591796875,-0.75234375,-0.04095458984375,0.29931640625,0.5433349609375,0.6953125000000001,0.836181640625,0.15374984741210937,0.4907876733011847
validation,negative,aspect_cos,p90,40,0.115966796875,0.5906005859375001,0.8863525390625,0.97802734375,0.987060546875,0.99375,1.0,0.8707550048828125,0.22759987421656488
validation,negative,aspect_sin,mean,40,-0.7017500444144389,-0.5051610398418234,-0.15696665752329864,-0.015335531881646602,0.3850540064756842,0.5361922758877882,0.6873169923528621,0.05201221991153489,0.36234171229568685
