mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_53.h5,51,45,214,16074,0.53125,0.19245283018867926,0.28254847645429365,0.16451612903225807,0.01617431640625,0.005859375,57,58,208,16061,0.4956521739130435,0.21509433962264152,0.3,0.17647058823529413,0.01617431640625,0.00701904296875,0.017451523545706338,-0.0355978260869565,0.02264150943396226,0.01195445920303606,13,-6,0.00115966796875
mask_54.h5,136,146,50,16052,0.48226950354609927,0.7311827956989247,0.5811965811965812,0.40963855421686746,0.0113525390625,0.0172119140625,101,83,85,16115,0.5489130434782609,0.543010752688172,0.5459459459459459,0.3754646840148699,0.0113525390625,0.01123046875,-0.03525063525063532,0.0666435399321616,-0.18817204301075274,-0.03417387020199758,-63,35,-0.0059814453125
mask_55.h5,333,117,397,15537,0.74,0.45616438356164385,0.5644067796610169,0.39315230224321135,0.0445556640625,0.0274658203125,219,49,511,15605,0.8171641791044776,0.3,0.43887775551102204,0.2811296534017972,0.0445556640625,0.016357421875,-0.1255290241499949,0.07716417910447759,-0.15616438356164386,-0.11202264884141416,-68,114,-0.0111083984375
mask_56.h5,100,219,15,16050,0.31347962382445144,0.8695652173913043,0.4608294930875576,0.2994011976047904,0.00701904296875,0.01947021484375,74,135,41,16134,0.35406698564593303,0.6434782608695652,0.4567901234567901,0.296,0.00701904296875,0.01275634765625,-0.004039369630767509,0.04058736182148159,-0.22608695652173916,-0.003401197604790407,-84,26,-0.0067138671875
mask_57.h5,24,7,10,16343,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.5853658536585366,0.0020751953125,0.00189208984375,25,3,9,16347,0.8928571428571429,0.7352941176470589,0.8064516129032258,0.6756756756756757,0.0020751953125,0.001708984375,0.06799007444168725,0.11866359447004615,0.02941176470588236,0.09030982201713911,-4,-1,-0.00018310546875
mask_58.h5,21,0,13,16350,1.0,0.6176470588235294,0.7636363636363637,0.6176470588235294,0.0020751953125,0.00128173828125,18,106,16,16244,0.14516129032258066,0.5294117647058824,0.22784810126582278,0.12857142857142856,0.0020751953125,0.007568359375,-0.5357882623705409,-0.8548387096774194,-0.08823529411764708,-0.4890756302521009,106,3,0.00628662109375
mask_59.h5,358,226,107,15693,0.613013698630137,0.7698924731182796,0.6825548141086749,0.5180897250361794,0.02838134765625,0.03564453125,347,213,118,15706,0.6196428571428572,0.7462365591397849,0.6770731707317074,0.5117994100294986,0.02838134765625,0.0341796875,-0.005481643376967549,0.006629158512720168,-0.023655913978494647,-0.006290315006680869,-13,11,-0.00146484375
mask_60.h5,0,23,0,16361,0.0,,0.0,0.0,0.0,0.00140380859375,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05,0.0,0.0,,0.0,-22,0,-0.0013427734375
mask_61.h5,138,116,13,16117,0.5433070866141733,0.9139072847682119,0.6814814814814815,0.5168539325842697,0.00921630859375,0.0155029296875,123,47,28,16186,0.7235294117647059,0.8145695364238411,0.7663551401869159,0.6212121212121212,0.00921630859375,0.0103759765625,0.0848736587054344,0.1802223251505326,-0.09933774834437081,0.10435818862785151,-69,15,-0.005126953125
mask_62.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_63.h5,45,72,6,16261,0.38461538461538464,0.8823529411764706,0.5357142857142857,0.36585365853658536,0.00311279296875,0.00714111328125,39,28,12,16305,0.582089552238806,0.7647058823529411,0.6610169491525424,0.4936708860759494,0.00311279296875,0.00408935546875,0.1253026634382567,0.19747416762342135,-0.11764705882352944,0.12781722753936403,-44,6,-0.0030517578125
mask_64.h5,111,51,33,16189,0.6851851851851852,0.7708333333333334,0.7254901960784313,0.5692307692307692,0.0087890625,0.0098876953125,65,5,79,16235,0.9285714285714286,0.4513888888888889,0.6074766355140186,0.436241610738255,0.0087890625,0.0042724609375,-0.1180135605644127,0.24338624338624337,-0.3194444444444445,-0.1329891584925142,-46,46,-0.005615234375
mask_65.h5,82,11,10,16281,0.8817204301075269,0.8913043478260869,0.8864864864864865,0.7961165048543689,0.005615234375,0.00567626953125,79,30,13,16262,0.7247706422018348,0.8586956521739131,0.7860696517412935,0.6475409836065574,0.005615234375,0.00665283203125,-0.10041683474519303,-0.15694978790569203,-0.032608695652173836,-0.14857552124781148,19,3,0.0009765625
