group_by,split,metric,count,min,p10,p25,median,p75,p90,max,mean,std
split+category,train,mean_slope_degrees,230,9.591263771057129,14.259733772277832,18.773212432861328,22.797035217285156,28.635892391204834,32.621743774414064,40.699806213378906,23.63560790186343,6.7196166600751255
split+category,train,distance_to_positive_m,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,boundary_pixel_fraction,230,0.0,0.0028076171875,0.00433349609375,0.0049819946289100005,0.0060043334960899995,0.0067459106445289995,0.0115966796875,0.004990287449048882,0.0019528537969381655
split+category,train,boundary_of_positive_fraction,230,0.0,0.003031168054121,0.0063741121560725,0.0108701603852,0.0191052118862,0.02920661278582999,0.0559566787004,0.013845761722959284,0.010840487267223878
split+category,validation,positive_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,ignore_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,ground_fraction,40,0.2002105712890625,0.2104278564453125,0.21435546875,0.22818756103515625,0.2615165710449219,0.3432373046875,0.43084716796875,0.25258445739746094,0.05819472678845989
split+category,validation,mean_slope_degrees,40,5.121443271636963,6.924780559539795,20.042940616607666,27.25925350189209,31.876710891723633,35.41101760864258,40.15520095825195,24.690760672092438,9.93153208776369
split+category,validation,distance_to_positive_m,40,73.5,165.04292641624008,243.28849039903844,364.17575131942056,629.7888620625231,1057.7327802146056,1302.7541018933696,490.80428074434167,334.0331690162362
split+category,validation,boundary_pixel_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,boundary_of_positive_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,validation,positive_fraction,7,0.0113067626953,0.01434631347658,0.01882934570315,0.0284729003906,0.04021453857425,0.06488342285160001,0.0968170166016,0.03638349260604285,0.02679071652872142
split+category,validation,ignore_fraction,7,0.0686950683594,0.4592590332033601,0.751907348633,0.903182983398,0.9639663696284999,0.9783935546874,0.988693237305,0.7703312465121999,0.3013043568817942
